Time,kVARh,kWh,Power_Factor
181,158.399997,332.189993,0.902609416666667
182,158.819997,317.06999,0.894012833333333
183,164.279996,308.369991,0.882564083333333
184,163.019999,299.879996,0.878570083333333
185,161.489996,289.529994,0.87328725
186,161.459997,280.949991,0.8670075
187,165.389997,268.589995,0.85141375
188,167.999996,265.949997,0.84542725
189,93.089999,195.569997,0.904212166666666
190,47.79,146.789998,0.951301083333333
191,45.6,125.879993,0.940119666666667
192,49.05,122.639996,0.928271769230769
193,41.61,101.279999,0.924971272727273
194,45.36,110.699998,0.925326583333333
195,45.96,110.399999,0.923206583333334
196,44.64,110.459997,0.9271545
197,45.03,110.999997,0.926653666666667
198,41.43,109.739996,0.935387833333333
199,36.9,121.649997,0.956484
200,140.339999,232.109995,0.858752833333334
201,153.299998,284.579993,0.87975525
202,153.359997,305.819991,0.893789583333333
203,153.839998,313.139995,0.8974215
204,152.909996,324.299995,0.90444675
205,153.479999,325.949992,0.904688166666667
206,154.199996,311.399993,0.896099083333333
207,155.819996,304.259997,0.890066333333333
208,155.639997,300.749994,0.888104416666667
209,153.329994,289.229992,0.883516166666667
210,156.119997,280.739996,0.873841666666667
211,161.699997,273.389994,0.860677333333333
212,163.199997,266.099994,0.85239325
213,93.299999,199.949996,0.907348666666667
214,48.93,149.699996,0.950852583333333
215,67.35,139.589997,0.901660833333333
216,86.1,153.299998,0.871877307692308
217,69.36,128.069997,0.879337818181818
218,75.99,140.579997,0.879720416666666
219,75.69,140.099999,0.879807583333333
220,74.46,139.919996,0.882777416666667
221,75.96,140.669999,0.879897916666667
222,75.24,140.339996,0.881304166666667
223,70.08,152.549997,0.907669083333333
224,145.019998,237.029992,0.854258083333333
225,153.179997,275.849992,0.87396675
226,152.999997,308.819994,0.8958435
227,152.159996,315.449991,0.9005705
228,151.079996,319.919993,0.904170666666667
229,151.769995,321.119992,0.904072833333333
230,152.969993,310.229996,0.89684225
231,154.319997,304.949992,0.892253583333333
232,156.239997,300.89999,0.887465
233,157.349996,286.469998,0.87645475
234,160.529997,278.039993,0.865996833333333
235,162.899995,270.329991,0.856447416666667
236,164.039995,263.939994,0.84932575
237,92.07,195.749996,0.906146833333333
238,46.2,148.919999,0.955404166666667
239,45.42,128.219998,0.9416145
240,49.44,123.48,0.928342230769231
241,41.7,103.019997,0.926931636363636
242,45.63,113.579998,0.927902
243,45.57,113.669998,0.92818475
244,43.74,113.099994,0.932642333333333
245,42.09,113.55,0.93764275
246,41.07,112.499999,0.939272083333333
247,36.96,111.059996,0.948818583333333
248,129.239998,196.769997,0.838056916666667
249,135.029998,211.439992,0.842708083333333
250,148.739999,232.649997,0.84256225
251,153.329995,241.889994,0.844589416666667
252,155.519998,252.569994,0.851472666666667
253,156.449997,261.389992,0.857976333333333
254,155.579996,270.689994,0.866995166666667
255,157.949995,265.919993,0.859732083333333
256,161.819999,259.379994,0.848418416666667
257,160.019996,255.599996,0.847577
258,158.91,242.099994,0.835876916666667
259,159.78,222.269995,0.811869416666667
260,161.789998,215.699997,0.799971916666667
261,90.84,150.689998,0.858642333333333
262,49.44,112.619997,0.916381583333333
263,43.23,107.039998,0.927231166666667
264,46.08,116.219996,0.929596076923077
265,39.18,98.34,0.928972727272727
266,42.81,107.219998,0.92870575
267,42.84,106.71,0.927995916666667
268,43.02,107.699996,0.928653166666667
269,43.68,107.759997,0.926750833333333
270,43.98,107.309998,0.9252955
271,111.899999,173.969998,0.84277625
272,146.279996,217.169997,0.8293475
273,156.689997,236.429995,0.833545833333333
274,155.999997,248.939994,0.847236833333333
275,155.549997,255.389994,0.854041166666667
276,153.929993,262.289995,0.8624285
277,153.209995,262.499995,0.863642416666667
278,155.399997,254.069998,0.85299225
279,158.459999,236.009996,0.830118916666667
280,158.219995,227.399994,0.82087425
281,63.359999,126.719996,0.898385666666667
282,58.11,116.819997,0.895324166666667
283,56.7,117.599997,0.900753166666667
284,57.84,117.929996,0.8978135
285,48.93,110.399996,0.914249333333333
286,47.25,109.589998,0.918218
287,48,109.89,0.916366
288,51,119.279996,0.919435307692308
289,42.48,100.679996,0.921340272727273
290,47.01,110.97,0.920793
291,47.22,110.279997,0.919265666666667
292,46.23,110.069998,0.92195025
293,47.58,110.759999,0.918795083333333
294,46.68,109.559998,0.919972166666667
295,41.73,129.869993,0.949772416666667
296,143.73,244.709995,0.864798083333334
297,161.969993,287.489993,0.87107075
298,158.759996,315.659991,0.893249166666667
299,160.469997,326.369993,0.897178
300,160.919997,330.959992,0.899203333333333
301,160.769995,325.919992,0.896798583333334
302,160.589997,326.339991,0.897237833333333
303,159.899993,323.669989,0.89656
304,163.919998,322.409995,0.891396083333333
305,155.429995,305.879996,0.891507416666667
306,156.209997,297.059994,0.885063583333333
307,158.849995,284.699995,0.873196333333333
308,160.949997,280.259991,0.867156083333333
309,90.87,203.339995,0.91397425
310,42.75,146.219997,0.959988083333333
311,40.56,122.669998,0.948931333333333
312,44.7,133.259999,0.947755692307692
313,37.86,97.829999,0.93259
314,42.12,107.46,0.93103425
315,42.21,118.619999,0.9417805
316,41.37,107.819998,0.93353425
317,42.45,106.919996,0.929415
318,39.15,113.579996,0.94456475
319,40.17,134.129998,0.957974
320,150.089997,256.829992,0.865851833333333
321,170.009999,304.139993,0.872489166666667
322,169.949998,328.859992,0.88832925
323,169.679997,331.169992,0.889789083333333
324,168.299999,329.819991,0.890601416666667
325,169.319995,344.03999,0.897107
326,169.379997,325.559992,0.886858416666667
327,172.049995,321.11999,0.881453166666667
328,173.699998,317.639997,0.87738125
329,166.259995,309.899991,0.88113725
330,165.839995,292.949991,0.869988333333333
331,169.409993,280.469997,0.855936583333333
332,171.449996,268.649996,0.842948
333,95.73,209.96999,0.910822333333333
334,47.07,144.869998,0.951486416666667
335,45.06,120.869998,0.936504333333333
336,50.49,121.589996,0.923149461538461
337,43.17,104.909997,0.924195909090909
338,47.76,107.819999,0.914290583333333
339,47.49,108.059998,0.915261666666667
340,46.02,119.099998,0.932567
341,44.64,108.239998,0.924442083333333
342,44.52,108.239998,0.924818166666667
343,41.49,136.769998,0.956129
344,156.299996,254.939996,0.85528
345,167.099995,302.189993,0.874531166666667
346,166.409995,330.329997,0.89291175
347,165.689995,326.009992,0.891346
348,164.849995,333.629992,0.896447416666667
349,166.049997,343.349994,0.90017525
350,165.389999,325.799991,0.89149525
351,170.549993,317.969992,0.881237833333333
352,171.419998,315.689994,0.878790083333333
353,169.799998,311.459992,0.877885333333333
354,170.189999,291.749993,0.86376075
355,175.769996,277.199994,0.844343833333333
356,179.429996,273.779994,0.836300916666667
357,100.559999,193.229999,0.888317
358,47.43,140.369998,0.9477615
359,46.65,125.279999,0.936991416666667
360,51.66,123.959997,0.922318076923077
361,44.61,97.199999,0.908822818181818
362,47.58,109.139999,0.9164425
363,46.83,116.129996,0.926937083333333
364,46.53,108.029995,0.918415166666667
365,46.95,108.089998,0.917079833333333
366,44.04,117.839998,0.936501166666667
367,43.32,124.379998,0.943383333333333
368,157.379997,251.459994,0.8509615
369,172.619997,315.329991,0.876630916666667
370,169.409995,317.63999,0.882335083333333
371,167.999996,319.559992,0.885114166666667
372,165.779998,342.599992,0.900024166666667
373,166.799997,331.799992,0.893014083333333
374,166.589996,318.629994,0.88608775
375,170.369996,315.269988,0.879761916666667
376,168.089996,321.509993,0.88615425
377,163.529998,295.529992,0.874964416666667
378,165.569999,284.219993,0.86404825
379,171.689999,279.029993,0.85161425
380,172.949996,267.209996,0.839134583333333
381,97.769999,195.179996,0.895267916666667
382,51.96,138.509998,0.936831666666667
383,48.6,123.87,0.929849833333333
384,53.19,112.98,0.904731307692308
385,45,95.549998,0.904673909090909
386,50.31,116.009998,0.91698025
387,46.05,103.019999,0.91294975
388,45.18,103.589997,0.9166
389,45.03,114.089998,0.929633
390,44.91,104.309998,0.918298416666667
391,44.67,117.089995,0.933760083333333
392,154.799996,255.539996,0.857174416666667
393,168.689997,299.699996,0.871046916666667
394,168.629995,314.909991,0.881520666666667
395,168.839996,321.059993,0.8849755
396,169.589995,327.239992,0.887672583333333
397,170.429996,327.329996,0.886885416666667
398,168.539999,314.399991,0.881218916666667
399,171.149996,318.509994,0.880660583333333
400,173.429998,304.049995,0.868612166666667
