Account,Date,kVARh,kWh,Power_Factor
26429741007,10/06/2014,247.23,1944.000027,0.991325482638888
26429741007,10/07/2014,280.2825,1989.517541,0.989634937500001
26429741007,10/08/2014,283.59,2014.965043,0.989763302083333
26429741007,10/09/2014,279.9225,1955.835034,0.989696600694444
26429741007,10/10/2014,260.235,1805.850017,0.989650100694445
26429741007,10/11/2014,246.96,1620.6075,0.988349701388889
26429741007,10/12/2014,224.955,1558.08,0.989451135416667
26429741007,10/13/2014,220.725,1521.81,0.989374326388889
26429741007,10/14/2014,247.1625,1946.790034,0.9916106875
26429741007,10/15/2014,342.405,2126.160041,0.987473666666666
26429741007,10/16/2014,301.7925,2112.25505,0.989795743055556
26429741007,10/17/2014,307.845,1964.002537,0.987915795138889
26429741007,10/18/2014,270.855,1648.687501,0.986780114583334
26429741007,10/19/2014,256.86,1639.0575,0.987782909722222
26429741007,10/20/2014,269.2125,2034.022529,0.99075740625
26429741007,10/21/2014,287.82,2016.49503,0.989613309027777
26429741007,10/22/2014,282.735,2070.382544,0.990517302083334
26429741007,10/23/2014,316.2825,2066.152537,0.988241628472222
26429741007,10/24/2014,328.2975,2000.497518,0.986498486111111
26429741007,10/25/2014,297.045,1680.547501,0.98468134375
26429741007,10/26/2014,37.71,330.6375,0.22926177972028
26429741007,10/27/2014,225.855,1884.870021,0.992472663194444
26429741007,10/28/2014,324.945,1910.497536,0.948111756944445
26429741007,10/29/2014,342.9,2053.125034,0.985941208333334
26429741007,10/30/2014,329.355,2001.330033,0.985799461805555
26429741007,10/31/2014,392.9175,2058.750042,0.982157288194444
26429741007,11/01/2014,388.17,1807.942501,0.977702020833333
26429741007,11/02/2014,364.84875,1772.336251,0.979399885416666
26429741007,11/03/2014,338.1525,2035.732532,0.986091722222222
26429741007,11/04/2014,312.165,2009.250031,0.987891677083333
26429741007,11/05/2014,301.7475,1995.075026,0.988365100694444
26429741007,11/06/2014,236.5875,1922.67003,0.991916631944444
26429741007,11/07/2014,248.7825,1816.875019,0.990302614583334
26429741007,11/08/2014,266.58,1528.9425,0.98506975
26429741007,11/09/2014,239.9625,1468.8675,0.986462940972222
26429741007,11/10/2014,289.485,1925.392535,0.988721684027779
26429741007,11/11/2014,259.11,1538.82,0.985855961805556
26429741007,11/12/2014,265.8825,1962.36003,0.990794229166667
26429741007,11/13/2014,333.6975,2036.812533,0.986168701388889
26429741007,11/14/2014,352.1025,1948.792525,0.983816024305556
26429741007,11/15/2014,305.235,1615.905,0.982557194444444
26429741007,11/16/2014,328.0275,1662.2775,0.981127864583333
26429741007,11/17/2014,356.1975,2063.565035,0.984519982638888
26429741007,11/18/2014,371.745,2122.222539,0.984416062500001
26429741007,11/19/2014,350.325,2065.477536,0.985557246527778
26429741007,11/20/2014,362.5875,2084.715036,0.984907045138889
26429741007,11/21/2014,335.9475,2002.185021,0.986052715277778
26429741007,11/22/2014,302.7825,1672.087501,0.98395790625
26429741007,11/23/2014,261.27,1568.4975,0.986267305555556
26429741007,11/24/2014,266.805,1901.992524,0.989790923344948
26429741007,11/25/2014,182.88,1737.562515,0.955888003472221
26429741007,11/26/2014,276.795,1832.242519,0.988634916666667
26429741007,11/27/2014,314.8425,1593.2025,0.980702850694445
26429741007,11/28/2014,317.52,1866.510017,0.985659965277778
26429741007,11/29/2014,322.245,1687.7925,0.982035767361112
26429741007,11/30/2014,289.1475,1611.945,0.984200447916667
26429741007,12/01/2014,285.84,1915.65002,0.989004319444445
26429741007,12/02/2014,303.255,2073.960033,0.988847944444444
26429741007,12/03/2014,249.93,1879.627524,0.980406480836237
26429741007,12/04/2014,263.97,1925.730033,0.990845836805555
26429741007,12/05/2014,246.9825,1864.822526,0.991422128472222
26429741007,12/06/2014,257.67,1670.445,0.988155111111111
26429741007,12/07/2014,263.9025,1663.47,0.987473583333333
